kabko,lat,long
 MALANG,-8.2422,112.7152
 MOJOKERTO,-7.4699,112.4351
 NGANJUK,-7.5944,111.9046
 NGAWI,-7.461,111.3322
 PACITAN,-8.1263,111.1414
 PAMEKASAN,-7.1051,113.5252
 PASURUAN,-7.786,112.8582
 PONOROGO,-7.8651,111.4696
 PROBOLINGGO,-7.8718,113.4776
 SAMPANG,-7.0402,113.2394
 SIDOARJO,-7.4726,112.6675
 SITUBONDO,-7.7889,114.1915
 SUMENEP,-6.9254,113.9061
 TRENGGALEK,-8.1824,111.6184
 TUBAN,-6.8955,112.0298
 TULUNGAGUNG,-8.0912,111.9642
 BATU,-7.8831,112.5334
 BLITAR,-8.0955,112.1609
 KEDIRI,-7.848,112.0178
 MADIUN,-7.6311,111.53
 MALANG,-7.9666,112.6326
 MOJOKERTO,-7.4705,112.4401
 PASURUAN,-7.6469,112.8999
 PROBOLINGGO,-7.7764,113.2037
 SURABAYA,-7.2575,112.7521
 BADUNG,-8.5819,115.1771
 BANGLI,-8.2976,115.3549
 BULELENG,-8.2239,114.9517
 GIANYAR,-8.4248,115.2601
 JEMBRANA,-8.3233,114.6668
 KARANGASEM,-8.3466,115.5207
 KLUNGKUNG,-8.7278,115.5444
 TABANAN,-8.4596,115.0466
 DENPASAR,-8.6705,115.2126
 BIMA,-8.4354,118.6265
 DOMPU,-8.5364,118.3462
 LOMBOK BARAT,-8.6465,116.1123
 LOMBOK TENGAH,-8.6946,116.2777
 LOMBOK TIMUR,-8.5134,116.561
 LOMBOK UTARA,-8.3739,116.2777
 SUMBAWA,-8.6529,117.3616
 SUMBAWA BARAT,-8.9293,116.891
 BIMA,-8.4643,118.7449
 MATARAM,-8.577,116.1005
 ALOR,-8.2928,124.5528
 BELU,-9.1539,124.9066
 ENDE,-8.6763,121.7195
 FLORES TIMUR,-8.3131,122.9663
 KUPANG,-9.9906,123.8858
 LEMBATA,-8.4719,123.4832
 MALAKA,-9.5309,124.9066
 MANGGARAI,-8.6797,120.3897
 MANGGARAI BARAT,-8.6688,120.0665
 MANGGARAI TIMUR,-8.6207,120.62
 NGADA,-8.743,120.9876
 NAGEKEO,-8.6754,121.3084
 ROTE NDAO,-10.7386,123.1239
 SABU RAIJUA,-10.5541,121.8335
 SIKKA,-8.6766,122.1292
 SUMBA BARAT,-9.6548,119.3947
 SUMBA BARAT DAYA,-9.5391,119.1391
 SUMBA TENGAH,-9.4879,119.6963
 SUMBA TIMUR,-9.9802,120.3436
 TIMOR TENGAH SELATAN,-9.7763,124.4198
 TIMOR TENGAH UTARA,-9.4523,124.5971
 KUPANG,-10.1772,123.607
 BENGKAYANG,1.0691,109.6639
 KAPUAS HULU,0.8337,113.0012
 KAYONG UTARA,-0.9226,110.045
 KETAPANG,-1.5698,110.5215
 KUBU RAYA,-0.3534,109.4735
 LANDAK,0.4237,109.7592
 MELAWI,-0.7001,111.6661
 MEMPAWAH,0.3897,109.1404
 SAMBAS,1.3625,109.2832
 SANGGAU,0.14,110.5215
 SEKADAU,-0.0697,110.9984
 SINTANG,-0.1378,112.8106
 PONTIANAK,-0.0263,109.3425
 SINGKAWANG,0.906,108.9872
 BALANGAN,-2.326,115.6155
 BANJAR,-3.32,114.9991
 BARITO KUALA,-3.0715,114.6668
 HULU SUNGAI SELATAN,-2.7663,115.2363
 HULU SUNGAI TENGAH,-2.6153,115.5207
 HULU SUNGAI UTARA,-2.4421,115.1889
 BARU,-3.003,115.9468
 TABALONG,-1.8643,115.5681
 TANAH BUMBU,-3.4512,115.5681
 TANAH LAUT,-3.7694,114.8093
 TAPIN,-2.9161,115.0466
 BANJARBARU,-3.4572,114.8103
 BANJARMASIN,-3.3186,114.5944
 BARITO SELATAN,-1.8759,114.8093
 BARITO TIMUR,-2.0124,115.1889
 BARITO UTARA,-0.9587,115.094
 GUNUNG MAS,-1.2522,113.5729
 KAPUAS,-1.8116,114.3341
 KATINGAN,-0.9758,112.8106
 WARINGIN BARAT,-2.5063,111.7615
 WARINGIN TIMUR,-2.1225,112.8106
 LAMANDAU,-1.8526,111.2845
 MURUNG RAYA,-0.1362,114.3341
 PULANG PISAU,-2.685,113.9536
 SUKAMARA,-2.6268,111.2368
 SERUYAN,-3.0123,112.4291
 PALANGKARAYA,-2.2161,113.914
 BERAU,2.0451,117.3616
 KUTAI BARAT,-0.4052,115.8522
 KUTAI KARTANEGARA,-0.1337,116.6082
 KUTAI TIMUR,0.9434,116.9852
 MAHAKAM ULU,0.9617,114.7143
 PASER,-1.7175,115.9468
 PENAJAM PASER UTARA,-1.2917,116.5138
 BALIKPAPAN,-1.2379,116.8529
 BONTANG,0.1209,117.48
 SAMARINDA,-0.4948,117.1436
 BULUNGAN,2.9042,116.9852
 MALINAU,3.0731,116.0414
 NUNUKAN,4.081,116.6082
 TANA TIDUNG,3.5519,117.0794
 TARAKAN,3.3274,117.5785
 BOALEMO,0.7013,122.2654
 BONE BOLANGO,0.5658,123.3486
 GORONTALO,0.5693,122.8084
 GORONTALO UTARA,0.9253,122.492
 POHUWATO,0.7055,121.7195
 GORONTALO,0.5435,123.0568
 BANTAENG,-5.5169,120.0203
 BARRU,-4.4364,119.6499
 BONE,-4.7443,120.0665
 BULUKUMBA,-5.4329,120.2051
 ENREKANG,-3.4591,119.8815
 GOWA,-5.3103,119.7426
 JENEPONTO,-5.5546,119.6731
 KEPULAUAN SELAYAR,-6.287,120.5049
 LUWU,-3.3052,120.2513
 LUWU TIMUR,-2.5826,121.171
 LUWU UTARA,-2.269,119.9741
 MAROS,-5.0549,119.6963
 PANGKAJENE DAN KEPULAUAN,-4.805,119.5572
 PINRANG,-3.6483,119.5572
 SIDENRENG RAPPANG,-3.7739,120.0203
 SINJAI,-5.2172,120.1127
 SOPPENG,-4.3519,119.9278
 TAKALAR,-5.4162,119.4876
 TANA TORAJA,-3.0753,119.7426
 TORAJA UTARA,-2.8622,119.8352
 WAJO,-4.0222,120.0665
 MAKASSAR,-5.1477,119.4327
 PALOPO,-3.0016,120.1985
 PAREPARE,-4.0096,119.6291
 BOMBANA,-4.6543,121.9018
 BUTON,-5.3096,122.9888
 BUTON SELATAN,-5.3096,122.9888
 BUTON TENGAH,-5.3891,122.5599
 BUTON UTARA,-4.7023,123.0339
 KOLAKA,-3.9947,121.5827
 KOLAKA TIMUR,-4.2279,121.9018
 KOLAKA UTARA,-3.1347,121.171
 KONAWE,-3.938,122.0837
 KONAWE KEPULAUAN,-4.1361,123.1239
 KONAWE SELATAN,-4.2028,122.4467
 KONAWE UTARA,-3.3803,122.0837
 MUNA,-4.9016,122.6277
 MUNA BARAT,-4.9016,122.6277
 WAKATOBI,-5.6504,123.8902
 BAU-BAU,-5.5071,122.5969
 KENDARI,-3.9985,122.513
 BANGGAI,-0.9562,122.6277
 BANGGAI KEPULAUAN,-0.9562,122.6277
 BANGGAI LAUT,-1.6735,123.5504
 BUOL,0.9695,121.3542
 DONGGALA,-0.4233,119.8352
 MOROWALI,-2.6987,121.9018
 MOROWALI UTARA,-1.6312,121.3542
 PARIGI MOUTONG,0.5818,120.8039
 POSO,-1.6469,120.4358
 SIGI,-1.386,119.8815
 TOJO UNA-UNA,-1.0988,121.537
 TOLI-TOLI,0.8768,120.758
 PALU,-0.9003,119.878
 BOLAANG MONGONDOW,0.6871,124.0641
 BOLAANG MONGONDOW SELATAN,0.4053,123.8411
 BOLAANG MONGONDOW TIMUR,0.7153,124.4642
